testname,LOOKAHEAD,FIFO,PB,unroll,fifo_size,size,execution_cycles,dfg_size,trip_count
mvt,0,0,0,U6,8,MEDIUM_DATASET,11763,26,10000
mvt,0,0,0,U7,8,MEDIUM_DATASET,10131,30,10000
mvt,1,1,0,none,8,MEDIUM_DATASET,10570,7,10000
mvt,1,1,0,U6,8,MEDIUM_DATASET,2488,27,10000
mvt,1,1,0,U7,8,MEDIUM_DATASET,2298,31,10000
mvt,1,1,1,none,8,MEDIUM_DATASET,10570,7,10000
mvt,1,1,1,U6,8,MEDIUM_DATASET,2488,27,10000
mvt,1,1,1,U7,8,MEDIUM_DATASET,2298,31,10000
mvt,0,0,1,none,12,MEDIUM_DATASET,76445,6,10000
mvt,0,0,1,U6,12,MEDIUM_DATASET,10503,26,10000
mvt,0,0,1,U7,12,MEDIUM_DATASET,9063,30,10000
mvt,0,0,0,none,12,MEDIUM_DATASET,76445,6,10000
mvt,0,0,0,U6,12,MEDIUM_DATASET,10503,26,10000
mvt,0,0,0,U7,12,MEDIUM_DATASET,9063,30,10000
mvt,1,1,0,none,12,MEDIUM_DATASET,10570,7,10000
mvt,1,1,0,U6,12,MEDIUM_DATASET,2488,27,10000
mvt,1,1,0,U7,12,MEDIUM_DATASET,2298,31,10000
mvt,1,1,1,none,12,MEDIUM_DATASET,10570,7,10000
mvt,1,1,1,U6,12,MEDIUM_DATASET,2488,27,10000
mvt,1,1,1,U7,12,MEDIUM_DATASET,2298,31,10000
mvt,0,0,1,none,16,MEDIUM_DATASET,71181,6,10000
mvt,0,0,1,U6,16,MEDIUM_DATASET,10437,26,10000
mvt,0,0,1,U7,16,MEDIUM_DATASET,9009,30,10000
mvt,0,0,0,none,16,MEDIUM_DATASET,71181,6,10000
mvt,0,0,0,U6,16,MEDIUM_DATASET,10437,26,10000
mvt,0,0,0,U7,16,MEDIUM_DATASET,9009,30,10000
mvt,1,1,0,none,16,MEDIUM_DATASET,10570,7,10000
mvt,1,1,0,U6,16,MEDIUM_DATASET,2488,27,10000
mvt,1,1,0,U7,16,MEDIUM_DATASET,2298,31,10000
mvt,1,1,1,none,16,MEDIUM_DATASET,10570,7,10000
mvt,1,1,1,U6,16,MEDIUM_DATASET,2488,27,10000
mvt,1,1,1,U7,16,MEDIUM_DATASET,2298,31,10000
gaussian_cdf,0,0,1,none,4,MEDIUM_DATASET,64882,12,10000
gaussian_cdf,0,0,1,U3,4,MEDIUM_DATASET,27834,39,10000
gaussian_cdf,0,0,1,U4,4,MEDIUM_DATASET,20996,51,10000
gaussian_cdf,0,0,1,U5,4,MEDIUM_DATASET,18491,65,10000
gaussian_cdf,0,0,0,none,4,MEDIUM_DATASET,64882,12,10000
gaussian_cdf,0,0,0,U3,4,MEDIUM_DATASET,22246,35,10000
gaussian_cdf,0,0,0,U4,4,MEDIUM_DATASET,16978,46,10000
gaussian_cdf,0,0,0,U5,4,MEDIUM_DATASET,14180,57,10000
gaussian_cdf,1,1,0,none,4,MEDIUM_DATASET,10670,13,10000
gaussian_cdf,1,1,0,U3,4,MEDIUM_DATASET,20850,36,10000
gaussian_cdf,1,1,0,U4,4,MEDIUM_DATASET,18418,47,10000
gaussian_cdf,1,1,0,U5,4,MEDIUM_DATASET,16408,58,10000
gaussian_cdf,1,1,1,none,4,MEDIUM_DATASET,10670,13,10000
gaussian_cdf,1,1,1,U3,4,MEDIUM_DATASET,5977,43,10000
gaussian_cdf,1,1,1,U4,4,MEDIUM_DATASET,4861,57,10000
